AGI,symbol,FASTA header
AT4G04610,APR1,APS reductase 1
AT1G62180,APR2,5'adenylylphosphosulfate reductase 2
AT4G21990,APR3,APS reductase 3
AT2G41350,AUG1,augmin 1
AT2G32980,AUG2,augmin subunit 2
AT5G48520,AUG3,augmin 3
AT1G50710,AUG4,augmin subunit 4
AT5G38880,AUG5,augmin subunit 5
AT5G40740,AUG6,augmin subunit 6
AT5G17620,AUG7,augmin subunit 7
AT5G15800,SEP1,SEPALLATA1
AT3G02310,SEP2,SEPALLATA 2
AT1G24260,SEP3,SEPALLATA3
AT2G03710,SEP4,SEPALLATA 4
AT1G73220,OCT1,organic cation/carnitine transporter1
AT1G79360,OCT2,organic cation/carnitine transporter 2
AT1G16390,OCT3,organic cation/carnitine transporter 3
AT3G20660,OCT4,organic cation/carnitine transporter4
AT1G79410,OCT5,organic cation/carnitine transporter5
AT1G16370,OCT6,organic cation/carnitine transporter 6
AT4G16640,1MMP,Metalloendoproteinase 1-MMP [Source:UniProtKB/Swiss-Prot;Acc:O23507]
AT1G03410,2A6,
AT5G06290,2-Cys Prx B,2-cysteine peroxiredoxin B
AT1G03940,3AT1,Coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZWB4]
AT1G47290,3BETAHSD/D1,3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 1
AT2G26260,3BETAHSD/D2,3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 2
AT2G43420,3BETAHSD/D3,3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 3 [Source:UniProtKB/Swiss-Prot;Acc:A9X4U2]
AT1G24140,3MMP,Metalloendoproteinase 3-MMP [Source:UniProtKB/Swiss-Prot;Acc:Q5XF51]
AT4G11080,3xHMG-box1,3xHigh Mobility Group-box1
AT4G23800,3xHMG-box2,3xHigh Mobility Group-box2
AT1G51680,4CL1,4-coumarate:CoA ligase 1
AT3G21240,4CL2,4-coumarate:CoA ligase 2
AT1G65060,4CL3,4-coumarate:CoA ligase 3
AT3G21230,4CL5,4-coumarate:CoA ligase 5
AT5G38120,4CL8,
AT1G20480,4CLL2,4-coumarate--CoA ligase-like 2 [Source:UniProtKB/Swiss-Prot;Acc:Q84P25]
AT1G20500,4CLL4,4-coumarate--CoA ligase-like 4 [Source:UniProtKB/Swiss-Prot;Acc:P0C5B6]
AT4G19010,4CLL6,4-coumarate--CoA ligase-like 6 [Source:UniProtKB/Swiss-Prot;Acc:Q84P24]
AT4G05160,4CLL7,4-coumarate--CoA ligase-like 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9M0X9]
AT5G63380,4CLL9,4-coumarate--CoA ligase-like 9 [Source:UniProtKB/Swiss-Prot;Acc:Q84P23]
AT2G45040,4MMP,Metalloendoproteinase 4-MMP [Source:UniProtKB/Swiss-Prot;Acc:Q8GWW6]
AT5G13050,5-FCL,5-formyltetrahydrofolate cycloligase
AT1G59970,5MMP,Metalloendoproteinase 5-MMP [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUJ5]
AT1G47510,5PTASE11,inositol polyphosphate 5-phosphatase 11
AT2G43900,5PTase12,inositol-polyphosphate 5-phosphatase 12
AT1G05630,5PTASE13,inositol-polyphosphate 5-phosphatase 13
AT2G31830,5PTase14,inositol-polyphosphate 5-phosphatase 14
AT1G56560,A/N-InvA,alkaline/neutral invertase A
AT4G34860,A/N-InvB,alkaline/neutral invertase B
AT3G06500,A/N-InvC,alkaline/neutral invertase C
AT1G22650,A/N-InvD,alkaline/neutral invertase D
AT1G72000,A/N-InvF,alkaline/neutral invertase F
AT1G07920,A1,Elongation factor 1-alpha 4 [Source:UniProtKB/Swiss-Prot;Acc:Q8GTY0]
AT5G60390,A1,Elongation factor 1-alpha 4 [Source:UniProtKB/Swiss-Prot;Acc:Q8GTY0]
AT1G07940,A1,Elongation factor 1-alpha 4 [Source:UniProtKB/Swiss-Prot;Acc:Q8GTY0]
AT1G07930,A1,Elongation factor 1-alpha 4 [Source:UniProtKB/Swiss-Prot;Acc:Q8GTY0]
AT4G28395,A7,ANTHER 7
AT5G07230,A9,Tapetum-specific protein A9 [Source:UniProtKB/Swiss-Prot;Acc:Q00762]
AT3G56900,AAAS,Aladin [Source:UniProtKB/Swiss-Prot;Acc:Q8GWR1]
AT3G08580,AAC1,ADP/ATP carrier 1
AT5G13490,AAC2,ADP/ATP carrier 2
